Symbol_1,date,environmentalScore,socialScore,governanceScore,ESGScore
CAH,2024-12-31,63.29,51.82,63.34,59.48
CLLN.L,,,,,
CCL,2024-11-30,53.24,50.41,67.03,56.89
CA.PA,,,,,
CBG,,,,,
CO.PA,,,,,
6952.T,,,,,
CYT.TO,,,,,
0293.HK,,,,,
CGL.L,,,,,
CCL-A.TO,,,,,
CELG,2019-09-30,57.91,66.23,65.54,63.23
CEMEXCPO.MX,,,,,
CNP,2024-09-30,59.01,64.01,72.66,65.23
ELET6.SA,,,,,
CLSC4.SA,,,,,
CNA.L,,,,,
CEQ.OL,,,,,
NVN.AX,,,,,
028260.KS,,,,,
CVX,2024-09-30,40.02,49.45,61.18,50.22
3481.TW,,,,,
2002.TW,,,,,
CMIG3.SA,,,,,
CESP3.SA,,,,,
PCAR3.SA,,,,,
2412.TW,,,,,
CSCO,2025-01-25,89.67,69.55,71.37,76.86
CIE.MC,,,,,
CIEN,2024-11-02,64.57,65.65,65.69,65.3
CI,2024-09-30,64.67,55.33,70.6,63.53
C,2024-09-30,66.45,73.53,62.61,67.53
CIT,2002-12-31,69.01,68.93,62.17,66.7
CLN.SW,,,,,
CLASB.ST,,,,,
0002.HK,,,,,
CLX,2024-12-31,72.94,72.78,73.58,73.1
CU.PA,,,,,
COB.L,,,,,
CMS,2024-12-31,68.75,78.43,79.71,75.63
CNP.PA,,,,,
CL,2024-12-31,65.81,66.51,65.8,66.04
CCL.AX,,,,,
COLBUN.SN,,,,,
KO,2024-09-27,67.98,61.95,72.15,67.36
CCE,,,,,
CCA.TO,,,,,
CTSH,2024-12-31,65.73,65.23,64.33,65.1
CBK.DE,,,,,
COLOB.CO,,,,,
COLT.L,,,,,
CMA,2024-09-30,66.71,74.78,66.92,69.47
CCRO3.SA,,,,,
CBA.AX,,,,,
2324.TW,,,,,
CFR.SW,,,,,
CPWR,2023-12-31,66.29,62.62,59.57,62.83
SBSP3.SA,,,,,
CAG,2024-11-24,65.28,55.53,72.4,64.4
COP,2024-09-30,50.44,72.31,64.57,62.44
CNX,2024-12-31,71.55,66.34,64.96,67.62
ED,2024-06-30,66.35,65.35,69.44,67.05
STZ,2024-11-30,52.8,54.23,72.85,59.96
CON.DE,,,,,
5021.T,,,,,
CPFE3.SA,,,,,
CWK.L,,,,,
CSGN.SW,,,,,
CVAL.MI,,,,,
ACA.PA,,,,,
CSL.AX,,,,,
CRST.L,,,,,
CRH.L,,,,,
CABK.MC,,,,,
CWN.AX,,,,,
CRDA.L,,,,,
CY,2019-12-29,62.08,68.71,67.88,66.22
CSX,2024-09-30,57.4,61.2,73.56,64.05
CMI,2024-12-31,72.14,64.77,68.68,68.53
CVS,2024-12-31,59.26,60.51,69.48,63.09
047040.KS,,,,,
000210.KS,,,,,
006800.KS,,,,,
7912.T,,,,,
4202.T,,,,,
6367.T,,,,,
4568.T,,,,,
DAI.DE,,,,,
DCG.L,,,,,
1925.T,,,,,
BN.PA,,,,,
DANSKE.CO,,,,,
DRI,2024-11-24,45.74,49.04,50.66,48.48
8163.TW,,,,,
DE,2025-01-26,74.73,68.72,71.74,71.73
DCC.L,,,,,
DLAR.L,,,,,
DF,,,,,
DLPH,2020-06-30,69.9,70.05,72.76,70.9
DAL,2024-12-31,58.17,62.3,73.89,64.79
DELL,2024-11-01,89.06,85.14,66.08,80.09
191738Z,,,,,
4324.T,,,,,
DLN.L,,,,,
DXS.AX,,,,,
DBK.DE,,,,,
DB11,,,,,
DPB.DE,,,,,
DPW.DE,,,,,
DTE.DE,,,,,
DVN,2024-09-30,55.94,60.06,68.98,61.66
DGE.L,,,,,
DIGI.KL,,,,,
DTV,2015-06-30,51.91,59.61,64.43,58.65
DSY.JO,,,,,
DNO.OL,,,,,
DST.JO,,,,,
DOW,2024-12-31,62.76,65.27,65.67,64.57
DOM.L,,,,,
005830.KS,,,,,
042670.KS,,,,,
034020.KS,,,,,
5714.T,,,,,
DPS,,,,,
DOW.AX,,,,,
DTE,2024-12-31,58.83,77.89,75.38,70.7
GEPA4.SA,,,,,
DTEX3.SA,,,,,
EOAN.DE,,,,,
DD,2024-12-31,55.71,56.74,69.18,60.54
ECL,2024-09-30,59.63,62.16,69.42,63.74
KODK,2024-09-30,69.7,65.56,71.27,68.84
ETN,2024-09-30,65.76,67.05,71.97,68.26
EBAY,2024-09-30,72.54,64.93,68.67,68.72
ENBR3.SA,,,,,
EDP.LS,,,,,
ECM.L,,,,,
ELUXB.ST,,,,,
EKTA-B.ST,,,,,
EKO.OL,,,,,
EDF.PA,,,,,
LLY,2024-09-30,74.26,61.87,67.88,68
EMBR3.SA,,,,,
EMC,2016-06-30,58.16,63.97,70.74,64.29
ELISA.HE,,,,,
ELT.OL,,,,,
2331.TW,,,,,
ENG.MC,,,,,
EMA.TO,,,,,
EHL.AX,,,,,
EMI.JO,,,,,
EBK.DE,,,,,
ECA.TO,,,,,
ENEL.MI,,,,,
ENB.TO,,,,,
ELE.MC,,,,,
ERF.TO,,,,,
ENI.MI,,,,,
ETR,2024-09-30,61.59,71.63,74.62,69.28
ERIC-B.ST,,,,,
EBS,2024-09-30,60.46,64.45,60.55,61.82
0988125D,,,,,
ESOIL.BO,,,,,
EI.PA,,,,,
EL,2024-12-31,67.33,69.18,62.55,66.35
ERM.L,,,,,
EVN,,,,,
EXC,2024-12-31,73.57,76.54,72.18,74.09
XOM,2024-09-30,57.47,73.88,70.22,67.19
EXX.JO,,,,,
FITB,2024-09-30,50.18,66.41,58.14,58.24
FDX,2024-11-30,69.03,61.56,55.95,62.18
FER.MC,,,,,
FCAU,2019-12-31,66,71.06,70.45,69.17
LDO.MI,,,,,
FIA1S.HE,,,,,
FTT.TO,,,,,
ESNT.L,,,,,
FGP.L,,,,,
FCR.TO,,,,,
FSLR,2024-09-30,78.19,63.95,62.6,68.25
FSR.JO,,,,,
FBU.NZ,,,,,
FLS.CO,,,,,
FLR,2024-09-30,61.68,62.22,78.2,67.37
7947.T,,,,,
BEN,2024-12-31,61.98,56.6,62.72,60.43
FRA.DE,,,,,
ORA.PA,,,,,
FOE.OL,,,,,
FRES.L,,,,,
6504.T,,,,,
5803.T,,,,,
7270.T,,,,,
FUXRZ.T,,,,,
4901.T,,,,,
6702.T,,,,,
5801.T,,,,,
VIFN.SW,,,,,
GFS.L,,,,,
GALP.LS,,,,,
GPS,2024-11-02,47.33,53.42,68.67,56.48
4449001Z.L,,,,,
GAS.MC,,,,,
GTO.AS,,,,,
GEBN.SW,,,,,
ENGI.PA,,,,,
GFC.PA,,,,,
GIS,2024-11-24,72.4,65.1,75.18,70.89
GM,2024-12-31,60.21,66.48,67.03,64.57
GE,2024-12-31,65.39,66.92,74.66,68.99
GNW,2024-09-30,61.15,68.79,64.5,64.81
GF.SW,,,,,
WN.TO,,,,,
GIVN.SW,,,,,
GXI.DE,,,,,
GETI-B.ST,,,,,
GSK.L,,,,,
GOG.L,,,,,
GFI.JO,,,,,
G.TO,,,,,
GS,2024-09-30,69.34,67.28,64.57,67.06
GOOG,2024-12-31,59.99,59.97,61.63,60.53
GT,2024-12-31,70.65,71.88,66.29,69.61
UNLS,,,,,
GRI.L,,,,,
GPOR.L,,,,,
GNK.L,,,,,
RIA.PA,,,,,
GRT.JO,,,,,
GRF.MC,,,,,
GND.JO,,,,,
GRF.JO,,,,,
GET.PA,,,,,
AIM.TO,,,,,
006360.KS,,,,,
HMB.ST,,,,,
HAL,2024-12-31,48.07,64.16,60.32,57.51
HLMA.L,,,,,
HHFA.DE,,,,,
HNA.OL,,,,,
161390.KS,,,,,
117930.KS,,,,,
HNR1.DE,,,,,
HAR.JO,,,,,
HAV.PA,,,,,
HIG,2024-09-30,58.48,51.87,55.19,55.18
HAS,2024-09-29,71.78,74.17,68.72,71.56
HAS.L,,,,,
HCLT.BO,,,,,
HDFCB.BO,,,,,
HTO.AT,,,,,
HEI.DE,,,,,
HEIA.AS,,,,,
JHG.L,,,,,
HEN3.DE,,,,,
HER.MI,,,,,
HELN.SW,,,,,
HES,2024-09-30,61.94,61.18,75.87,66.33
HIK.L,,,,,
6305.T,,,,,
6501.T,,,,,
4217.T,,,,,
HZ.BO,,,,,
HSX.L,,,,,
HOT.DE,,,,,
HOLM-B.ST,,,,,
LHN.SW,,,,,
HD,2024-10-27,82.38,60.32,75.27,72.66
HCI.JO,,,,,
HOME.L,,,,,
011170.KS,,,,,
0006.HK,,,,,
7267.T,,,,,
.0044HK,,,,,
HSP,,,,,
HST,2024-09-30,59,61.63,71.35,63.99
HSBA.L,,,,,
HUBN.SW,,,,,
HLM.JO,,,,,
HUM,2024-09-30,69.86,62.89,66.57,66.44
000660.KS,,,,,
000720.KS,,,,,
IBE.MC,,,,,
005380.KS,,,,,
001450.KS,,,,,
011200.KS,,,,,
012330.KS,,,,,
004020.KS,,,,,
4062.T,,,,,
ICAD.PA,,,,,
WCN.TO,,,,,
IMP.JO,,,,,
IEM.L,,,,,
NK.PA,,,,,
7013.T,,,,,
ILV.JO,,,,,
IPL.JO,,,,,
IMB.L,,,,,
IDR.MC,,,,,
ITX.MC,,,,,
INGA.AS,,,,,
IAG.TO,,,,,
INH.DE,,,,,
024110.KS,,,,,
INDUA.ST,,,,,
IFN.AX,,,,,
INFO.BO,,,,,
IDFC.BO,,,,,
IOF.AX,,,,,
IR,2024-09-30,69.77,67.58,66.86,68.07
IMN.TO,,,,,
1605.T,,,,,
ICP.L,,,,,
IBM,2024-09-30,59.53,66.55,60.94,62.34
INTC,2024-12-28,78.35,80.7,78.89,79.31
IFC.TO,,,,,
IAG.AX,,,,,
IVZ,2024-09-30,46.5,56.56,64.11,55.72
IFF,2024-09-30,66.59,66.84,68.14,67.19
IP,2024-09-30,62.63,64.84,71.74,66.4
ISP.MI,,,,,
